Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
11063910351,HEX BOLT M10X1.25X35TS17100 8.8SS8451-8C,, 24.00 ,18%,, 18.71 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063910459,HEX BOLT M10X1.25X45TS17100 8.8SS8451-8C,, 7.00 ,18%,, 5.46 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063916694,HEX BOLT M16X1.5X110TS17100 8.8SS8451-8C,, 83.00 ,18%,, 64.72 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063996086,HEXBOLT M16X1.5X90TS17100-8.8-SS8451S2-Y,, 22.00 ,18%,, 17.15 ,,EA,,TELCO,TATA,Sumo/ Safari/Aria,,,,,,,,,,,87089900,,,
11063999221,HEXBOLT M12X1.5X65TS17100-8.8-SS8451S2-Y,, 41.00 ,18%,, 31.97 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063999310,H/BOLT M12X1.5X90TS17100-8.8-SS8451S2-Y,, 99.00 ,18%,, 77.19 ,,EA,,TELCO,TATA,Sumo/ Safari/Aria,,,,,,,,,,,87089900,,,
11064008503,HEX BOLT M8X50 TS17100-10.9-SS8451-8CH,, 15.00 ,18%,, 11.70 ,,EA,,TELCO,TATA,Sumo/ Safari/Aria,,,,,,,,,,,87089900,,,
11064012403,HEX BOLT M12X40 TS17100-10.9-SS8451-8CH,, 27.00 ,18%,, 21.05 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064096011,HEX BOLT M8X35 TS17100-10.9-SS8451-8CH,, 15.00 ,18%,, 11.70 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11064096020,HEX BOLT M8X40 TS17100-10.9-SS8451S2-YH,, 32.00 ,18%,, 24.95 ,,EA,,TELCO,TATA,All,,,,,,,,,,,87089900,,,
