Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
36JY0053,KIT SHIM 2.96 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0054,KIT SHIM 3 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0055,KIT SHIM 3.04 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0056,KIT SHIM 2.30 MM JY511231AP,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0057,KIT SHIM 2.34 MM JY511231AR,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0058,KIT SHIM 2.38 MM JY511231AT,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0059,KIT SHIM 2.42 MM JY511231AV,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0060,KIT SHIM 2.46 MM JY511231AX,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0061,KIT SHIM 2.50 MM JY511231AZ,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0062,KIT SHIM 2.54 MM JY511231BB,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0063,KIT SHIM 2.58 MM JY511231BD,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0064,KIT SHIM 2.62 MM JY511231BF,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0102,KIT OUT PUT SHAFT,,112,,,80.68,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0103,KIT FRIC PLATE KTM 390 A/S,,2169,,,1562.55,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0111,KIT SHIM D=10/2.10 MM,,27,,,19.45,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JY0112,SHIM D=10/2.14 MM,,24.9,,,17.94,,10,10,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0113,SHIM D=10/2.18 MM,,25,,,18.01,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0115,SHIM D=10/2.26 MM,,27,,,19.45,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JY0123,SHIM D=10/2.94 MM,,29,,,20.89,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JY0124,SHIM D=10/2.98 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0125,SHIM D=10/3.02 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JY0153,RING PISTON KT10,,268,,,193.07,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,84099113,,,
36JY0162,KIT AIR FILTER BOX KT 10A/B,,662,,,476.90,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,84213100,,,
36JY0179,MAJOR KIT REAR CALIPER,,276,,,198.83,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149400,,,
36JY0180,MINOR KIT REAR CALIPER,,158,,,113.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149400,,,
36JY0186,FR M/CYL BRAKE LEVER KIT,,1959,,,1411.26,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0222,CLAMP KIT - KT22 10WO5251,,104,,,74.92,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149400,,,
36JY0223,MAJOR KIT RE MAST CYL 10W02822,,258,,,185.86,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149400,,,
36JY0224,MINOR KIT RE MAST CYL 10W05712,,90,,,64.84,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149400,,,
36JY0235,FRAMEEL ORANGE(52JY0796)W VIN PL,,14048,,,10120.18,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JY0307,KIT DECAL COVER TANK BLK,,259,,,186.58,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,39199090,,,
36JY0337,FRONT WHEEL BLACK - NON HD,,5116,,,3685.57,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JY0344,STICKER KIT DCL RC125 BLACK MY22,,2405,,,1732.56,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39269099,,,
36JY0360,DIAGNOSTIC TOOL,,14143,,,10188.62,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,85443000,,,
36JZ0001,KIT VALVE DISCO H,,382,,,275.19,,1,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,84099111,,,
36JZ0002,CYL BL0CK ASLY DISCO H,,2580,,,1858.63,,1,4,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JZ0003,KIT DRIVE & DRIVEN DISCO H,,1192,,,858.72,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
