Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock
A5P42500,GEARBOX-S5-36-6.5R-FS 1500,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P42700,GEARBOX-S6-36-6.93R-OD-FS 1600,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P42800,ZF S6362 6.93 OD GEARBOXHSeries150 MM,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P43100,GEARBOX-S6-36-6.93R-FS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P43200,GEARBOX-6S850-8.51R,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P43700,GEARBOX-S6-36-8.97R-FS 1600,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P44000,GEARBOX-S6-36-8.97R-FS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P44100,GEARBOX9S111012.73RMECH.CSO,,249750,16,,209790,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P44200,GEARBOX-S6-36-6.93R-OD-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P44400,ASSY OF GEAR BOX S536 6.5 FGR,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P44500,GEAR BOX ASSEMBLY ASSY OF ZF S536 6.5 F,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P45200,GEAR BOX ASSEMBLY ASSY OF ZF S6.362 8.9,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P45700,GEARBOX-S5-36-7.2R-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P46200,ASSY OF ZF S6362 6.93 OD GB HSERIES EN,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P46800,GEARBOX-S6-36-6.93R-OD-FS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
